title,authors,year,doi,ml_category,ml_models,ml_models_quote,target_properties,target_properties_quote,dataset_size,dataset_size_quote,data_type,data_type_quote,features,features_quote,num_features,num_features_explanation,performance_metric,performance_metric_quote,metric_value,metric_type,confidence,confidence_explanation,recommend_exclude,exclude_reason,extraction_model
Machine learning interatomic potential for finite-size graphene,,,10.1016/j.commatsci.2025.114256,trained,"Deep Potential (DP), DP-GEN","Deep Potential (DP) — ""The deep potential generator (DP-GEN) scheme is used to actively explore the configurations to generate a training database and test database [ 28 ].""
DP-GEN — ""In addition, although DP-GEN enables active learning, the MD process of sampling does not fully cover the potential energy surface.""","Energy, Atomic force, Edge energy, Edge stress, In-plane stiffness, Poisson's ratio, Vibration frequency, Virial","Energy — ""To verify the prediction ability of the DP model, Fig. 2 presents the energy and force components predicted by DFT and DP for all the structures in the test database.""
Atomic force — ""The new configurations are selected according to the maximal standard deviation of the atomic force ϵ t predicted by the model.""
Edge energy — ""The prediction of the edge energy and edge stress of two chiral GNRs via the REBO potential is inconsistent with that via DFT.""
Edge stress — ""The REBO potential differs from the DFT calculation results in predicting the in-plane stiffness, Poisson's ratio and edge stress.""
In-plane stiffness — ""The REBO potential differs from the DFT calculation results in predicting the in-plane stiffness, Poisson's ratio and edge stress.""
Poisson's ratio — ""The REBO potential differs from the DFT calculation results in predicting the in-plane stiffness, Poisson's ratio and edge stress.""
Vibration frequency — ""When the edge effect is small, the REBO potential effectively predicts the vibration frequency of the armchair GNRs, as shown in Fig.""
Virial — ""where Δ E , Δ F i and Δ ξ are the root mean square errors of the energy, force and virial, respectively.""",7225,"In the database, 5225 data points are manually selected, 2000 data points are explored via DP-GEN (see Supplementary Information for more details on database), 90 % of all the data are used for training, and 10 % are used for testing.",computational,"First, the initial training database is manually generated via DFT calculations.",Atomic coordinates and types (symmetric invariant descriptors),"Atomic coordinates and types (symmetric invariant descriptors) — ""The embedding network converts atomic coordinates and types into high-dimensional symmetric invariant descriptors, which can ensure that the model is invariant to rotation, translation, atomic arrangement and fundamental physical laws.""",NR,"The text states the embedding network converts atomic coordinates and types into high-dimensional symmetric invariant descriptors, but no explicit count of descriptors/features is given.","RMSE energy=5.024e-4 eV/atom, RMSE force=7.016e-2 eV/Å","The root mean square errors (RMSEs) of the energy and force are 5.024e −4 eV/atom and 7.016e −2 eV/Å, respectively.",0.07016,RMSE,high,"All core fields were found: ml_models (DP/DP-GEN), target_properties, dataset_size (7225 = 5225 + 2000), data_type (computational from DFT), features, and performance metric (RMSE). Only num_features is null because no explicit feature count is given.",yes,"MLIP/force field (Deep Potential) for MD, not property prediction from a feature dataset",claude-opus-4-8
Developing a machine learning Ni-Co-Al ternary interatomic potential for temperature and strain-rate dependent mechanical behaviors of Ni-based single crystal superalloys,,,10.1016/j.matdes.2025.114535,trained,NEP (Neuroevolution Potential),"NEP (Neuroevolution Potential) — ""The NEP [25] uses a simple feedforward neural network (NN) with a single hidden layer of N n e u neurons to represent the site energy of atom as a function of a descriptor vector with N d e s components.""","bulk modulus B0, elastic constants C11, C12, C44, yield strength","bulk modulus B0 — ""By applying 1% elastic strain near the equilibrium state and counting the corresponding stress, the bulk modulus B 0 and elastic constants C 11 , C 12 and C 44 of FCC-Ni, HCP-Co, FCC-Al and L1 2 - Image 10 can be obtained.""
elastic constants C11, C12, C44 — ""By applying 1% elastic strain near the equilibrium state and counting the corresponding stress, the bulk modulus B 0 and elastic constants C 11 , C 12 and C 44 of FCC-Ni, HCP-Co, FCC-Al and L1 2 - Image 10 can be obtained.""
yield strength — ""However, an abnormal increase in yield strength occurs in the region of 800 ∼ 900 K and decreases again after 900 K, which is also consistent with the experimental and MD simulation results [5,47,48] .""",4124,"The training dataset consists of 4124 configurations of Ni-Co-Al alloys, with 90% allocated for training and 10% reserved for testing.",computational,The first-principles calculations are performed by Vienna ab initio simulation package (VASP) [38] based on density functional theory (DFT).,"radial descriptor components, angular (3-body and 4-body) descriptor components","radial descriptor components — ""The descriptor for atom i consists of radial and angular components, and the radial descriptor components are defined as (2) q n i = ∑ j ≠ i g n ( r i j ) 0 ≤ n ≤ n max R where g n ( r i j ) defines the two-body action, which is expressed as the sum of the basis functions""
angular (3-body and 4-body) descriptor components — ""For the angular descriptor components, we consider 3-body and 4-body ones.""",54,"The text explicitly states 'The resulting 54 descriptor components (9 radial, 45 angular) effectively represent these diverse atomic environments.' giving a total of 54 descriptor components used as model inputs.",RMSE=0.063 eV/Å (force),"3 b, the RMSE of the force is 0.063 and 0.078 eV/Å for NEP in this work and UNEP-v1, respectively.",0.063,RMSE,high,"All core fields were found: ml_models (NEP), target_properties (elastic constants, bulk modulus, yield strength), dataset_size (4124), data_type (computational/DFT), features (radial and angular descriptors), num_features (54 explicitly stated), and performance metric (RMSE of force).",yes,"The ML component is a machine-learned interatomic potential (NEP) trained on DFT data and used to drive MD simulations, predicting energies/forces rather than predicting alloy properties from a feature dataset (MLIP/force field for MD, not property prediction).",claude-opus-4-8
High-temperature deformation behavior and dynamic recrystallization mechanism of direct energy deposited and wrought IN718 alloys,,,10.1016/j.msea.2025.148846,trained,"Physics-informed neural network (PINN), Backpropagation artificial neural network (ANN)","Physics-informed neural network (PINN) — ""3.4 Establishment of physics-informed neural network model Traditional backpropagation ANN model rely exclusively on data-driven learning, minimizing the mean squared error (MSE) between predictions and experimental observations.""
Backpropagation artificial neural network (ANN) — ""Traditional backpropagation ANN model rely exclusively on data-driven learning, minimizing the mean squared error (MSE) between predictions and experimental observations.""",Flow stress,"Flow stress — ""The flow stresses of DEDed and wrought IN718 alloys under different deformation parameters are predicted using PINN model and compared with UDD model and measured stresses, as shown in Fig.""",NR,NR,experimental,"Traditional backpropagation ANN model rely exclusively on data-driven learning, minimizing the mean squared error (MSE) between predictions and experimental observations.",NR,NR,NR,"The context does not explicitly list the input variables fed into the PINN model. While deformation parameters such as temperature and strain rate are mentioned in relation to predictions, no sentence clearly names them as model inputs/features, so the features list is left empty.","R=0.992, AARE=5.096%, RMSRE=0.071","PINN model outperforms UDD model in predicting flow stresses of DEDed and wrought IN718 alloy, achieving a higher R of 0.992, a lower A A R E of 5.096 %, and a lower R M S R E of 0.071, thereby offering improved prediction accuracy.",0.992,other,medium,"ml_models, target_properties, data_type, and performance_metric are clearly supported. However, dataset_size is NR and features is empty (num_features null), as the text does not explicitly state the training set size or the model input variables.",yes,"Core fields incomplete: ml_models and target_properties are present, but neither dataset_size nor features are clearly supported by the text (dataset_size is NR and no model input features are explicitly named).",claude-opus-4-8
"Sticking, reflection, and abstraction behavior of hydrogen irradiated on (110) tungsten surfaces at 0.1-100 eV by molecular dynamics simulations using a machine learning potential",,,10.1016/j.actamat.2025.121306,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""Using the training dataset extended by this active learning step (dataset #6), consisting of 1004 configurations computed with the high accuracy DFT settings, MTP high,2 was updated to MTP high,3 , which is the final version of the MTP in this study.""","lattice constant, cohesive energy, elastic constants, surface formation energies, solution energy of H at tetrahedral and octahedral sites in bcc-W, binding energy of the H2 molecule, surface binding energy","lattice constant — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
cohesive energy — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
elastic constants — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
surface formation energies — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
solution energy of H at tetrahedral and octahedral sites in bcc-W — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
binding energy of the H2 molecule — ""First, in Table 3 , we evaluate the lattice constant, cohesive energy, elastic constants, surface formation energies, and solution energy of H at tetrahedral and octahedral sites in bcc-W, as well as the binding energy of the H 2 molecule.""
surface binding energy — ""In ion implantation simulations, the surface binding energy, the energy barrier that an atom on the surface must overcome to be ejected, is a critical parameter.""",1004,"The energy, force, and stress data obtained by the MTP and the DFT calculations for the configurations contained in the training set, which consists of 1004 configurations, are compared in Figure G.1.",computational,"Using the training dataset extended by this active learning step (dataset #6), consisting of 1004 configurations computed with the high accuracy DFT settings, MTP high,2 was updated to MTP high,3 , which is the final version of the MTP in this study.","moment tensor descriptors, radial basis term (fμ), angular component","moment tensor descriptors — ""The basis functions Bα is then described by the moment tensor descriptors as""
radial basis term (fμ) — ""where fμ represents the radial basis term, while  corresponds to the angular component.""
angular component — ""where fμ represents the radial basis term, while  corresponds to the angular component.""",NR,"The context describes basis functions as moment tensor descriptors with radial and angular components, but never states an explicit count of features/descriptors used.","RMSE=9.7 meV/atom for energy, 0.11 eV/Å for force (test dataset)",The RMSEs evaluated on a test dataset are 9.7 meV/atom for energy and 0.11 eV/Å for force.,9.7,RMSE,medium,"ml_models, target_properties, dataset_size, data_type, features, and performance_metric were all found. num_features is null because no explicit descriptor count was given.",yes,"MLIP/force field (Moment Tensor Potential) trained on DFT data for MD/ion-implantation simulations of H irradiation on W, not property prediction from a feature dataset.",claude-opus-4-8
Enhanced hydrogen embrittlement resistance of FeCoNiCrMn multi-principal element alloys via local chemical ordering and grain boundary segregation,,,10.1016/j.actamat.2025.121209,trained,DeePMD deep neural network potential (DP model),"DeePMD deep neural network potential (DP model) — ""The DeePMD package [ 35 ] was utilized by DP-GEN to construct a deep neural network designed for predicting the interatomic potential energy surface.""","interatomic potential energy surface, lattice parameters, elastic moduli (bulk modulus, shear modulus, elastic modulus, Poisson's ratio), H diffusion barriers, GB fracture energy, stacking fault energy, energy and atomic forces","interatomic potential energy surface — ""The DeePMD package [ 35 ] was utilized by DP-GEN to construct a deep neural network designed for predicting the interatomic potential energy surface.""
lattice parameters — ""Table S1 lists the lattice parameters and elastic moduli of the FeCoNiCrMn FCC lattices with and without embedded H atoms, confirming the ability of the DP model to calculate elastic properties.""
elastic moduli (bulk modulus, shear modulus, elastic modulus, Poisson's ratio) — ""Calculated lattice parameters, bulk modulus (B), shear modulus (G), elastic modulus (E), and Poisson’s ratio (v) of the FeCoNiCrMn FCC lattices with and without an embedded H atom.""
H diffusion barriers — ""In these systems, H diffusion barriers were massively sampled by calculating H solution energies at saddle points and interstitial sites, ensuring robust predictability for H diffusion behaviors in these systems.""
GB fracture energy — ""GB fracture energies of different GB models calculated by DFT and predicted by DP models are shown in Fig. S5b, highlighting the predictive capability of the DP model in estimating GB fracture energy.""
stacking fault energy — ""The close agreement between the two approaches in predicting stacking fault energies validates the DP model.""
energy and atomic forces — ""Parity plots of energy and force, predicted by the DP model and calculated by DFT, demonstrated that the DP model accurately generates system energy and atomic forces.""",NR,NR,computational,"Training data were generated by spin-polarized DFT calculations, which were performed using the Vienna ab initio Simulation Package (VASP) [ 36 , 37 ].",NR,NR,NR,"The model is a machine-learned interatomic potential trained on atomic configurations; no explicit input descriptors/features are named in the context. The inputs are atomic configurations (positions/species) which serve as the implicit input, but no feature/descriptor list is provided.",NR,NR,NR,NR,medium,"ml_models, target_properties, and data_type are clearly supported. However, dataset_size is null (no explicit count of training configurations given), features is empty (MLIP uses atomic configurations, no descriptor list), and performance_metric is NR (parity plots/agreement mentioned but no numeric RMSE/MAE value reported).",yes,"MLIP/force field (DeePMD/DP model) trained on DFT data to predict interatomic potential energy surface and drive MD/molecular statics simulations, not property prediction from a feature dataset.",claude-opus-4-8
Influence of crystal orientation and polymorphism on the shock response of boron carbide,,,10.1016/j.actamat.2025.121305,trained,Neural network machine learning interatomic potential (MLIP),"Neural network machine learning interatomic potential (MLIP) — ""To accurately predict atomic forces and energies during shock compression of boron carbide, we use a neural network MLIP that was trained and validated for use under extreme conditions [ 28 ].""","atomic forces and energies, energy prediction error, elastic constants, high-pressure equations of state, melting point","atomic forces and energies — ""To accurately predict atomic forces and energies during shock compression of boron carbide, we use a neural network MLIP that was trained and validated for use under extreme conditions [ 28 ].""
energy prediction error — ""Prior to its use in this study, the MLIP [ 28 ] successfully passed a rigorous 3-stage validation process to ensure accuracy in statistical metrics (e.g., energy prediction error), static material property prediction (e.g., elastic constants, high-pressure equations of state), and dynamic property prediction (e.g., melting point).""
elastic constants — ""Prior to its use in this study, the MLIP [ 28 ] successfully passed a rigorous 3-stage validation process to ensure accuracy in statistical metrics (e.g., energy prediction error), static material property prediction (e.g., elastic constants, high-pressure equations of state), and dynamic property prediction (e.g., melting point).""
high-pressure equations of state — ""Prior to its use in this study, the MLIP [ 28 ] successfully passed a rigorous 3-stage validation process to ensure accuracy in statistical metrics (e.g., energy prediction error), static material property prediction (e.g., elastic constants, high-pressure equations of state), and dynamic property prediction (e.g., melting point).""
melting point — ""Prior to its use in this study, the MLIP [ 28 ] successfully passed a rigorous 3-stage validation process to ensure accuracy in statistical metrics (e.g., energy prediction error), static material property prediction (e.g., elastic constants, high-pressure equations of state), and dynamic property prediction (e.g., melting point).""",NR,The amorphous atomic configurations are generated by melting and quenching a 3 × 3 × 3 unit cell of B 12 (CCC) at 3675 K using ab initio molecular dynamics.,computational,"The training data is generated with the Vienna Ab Initio Simulation Package (VASP) [ 33–36 ] using the projector-augmented-wave (PAW) method [ 37 , 38 ].",atomic environment within 6.0 Å cutoff radius,"atomic environment within 6.0 Å cutoff radius — ""The model is generated and trained using the DeePMD-kit package [ 29–32 ] and consists of a 25-50-100 neuron embedding network, a 120-120-120 neuron fitting network, and a 6.0 Å cutoff radius.""",NR,"The paper does not enumerate explicit input features. The MLIP uses atomic environments within a 6.0 Å cutoff radius encoded by an embedding network, but no specific count of descriptor features is given.",NR,The equation of state and Hugoniot curve predicted by the MLIP were also found to be in excellent agreement with DFT calculations as well as numerous experimental data reported in the literature.,NR,NR,medium,"ml_models, target_properties, and data_type are clearly supported. However, dataset_size is null (only the configuration generation method is described, no count), num_features is null (no explicit feature count), and performance_metric is NR (only qualitative 'excellent agreement' stated, no numeric error metric).",yes,"MLIP/force field for MD, not property prediction — the only ML component is a neural network interatomic potential used to drive molecular dynamics shock simulations.",claude-opus-4-8
Effects of La on the clustering process of B2-NiAl nanoparticles in maraging steels: Atomic-scale characterization and molecular dynamics simulation using deep learning potential,,,10.1016/j.actamat.2025.121234,trained,Deep neural network (Deep Potential),"Deep neural network (Deep Potential) — ""They are fed into a deep neural network (DNN) with three hidden layers, each comprising 240 neurons, to predict atomic energies.""","Atomic energy, Atomic forces, Elastic constants (C11, C12, C44), Bulk modulus, Lattice parameters","Atomic energy — ""They are fed into a deep neural network (DNN) with three hidden layers, each comprising 240 neurons, to predict atomic energies.""
Atomic forces — ""Finally, a dataset containing 44,570 frames containing atomic energies and forces was created, and 20 % of this dataset was randomly selected as a testing set and the remaining 80 % as a training set.""
Elastic constants (C11, C12, C44) — ""Table S3 Lattice parameters (a), atomic energy (E0), elastic constants (C11, C12 and C44), bulk modulus (BH), shear modulus (GH), Young’s modulus (EH) from DFT, developed DP, EAM [1-3] and MEAM [4-6] calculations.""
Bulk modulus — ""In addition, it is found that DP model is also accurate in predicting the elastic constants and moduli.""
Lattice parameters — ""Table S3 Lattice parameters (a), atomic energy (E0), elastic constants (C11, C12 and C44), bulk modulus (BH), shear modulus (GH), Young’s modulus (EH) from DFT, developed DP, EAM [1-3] and MEAM [4-6] calculations.""",44570,"Finally, a dataset containing 44,570 frames containing atomic energies and forces was created, and 20 % of this dataset was randomly selected as a testing set and the remaining 80 % as a training set.",computational,The dataset used for training the DP was generated by ab initio molecular dynamics (AIMD) calculations utilizing Vienna ab initio simulation program (VASP) [ 30 ] in canonical ensemble (NVT).,Local environment descriptors (atomic positions and neighbors within cutoff radius),"Local environment descriptors (atomic positions and neighbors within cutoff radius) — ""For each configuration in the training set, atomic positions and their neighbors within a specified cutoff radius ( r c , set to 5 Å in this work) are converted into a series of local environment descriptors via an embedding network, and the size of the embedding network is (25, 50, 100).""",NR,"The features are local environment descriptors generated via an embedding network of size (25, 50, 100), but the explicit number of descriptor dimensions fed into the DNN is not clearly stated as a single count.","RMSE energy=8.96 meV/atom, force=72.7 meV/Å (test set)","The root mean square error (RMSE) for the energies and atomic forces in the training set are 8.56 meV/atom and 72.9 meV/Å, respectively, and those in the testing set are 8.96 meV/atom and 72.7 meV/Å.",8.96,RMSE,high,"ml_models, target_properties, dataset_size, data_type, features, and performance_metric are all clearly supported by the text. Only num_features is null because the exact descriptor dimension count is not explicitly stated.",yes,"MLIP/force field (Deep Potential) trained on DFT/AIMD data to predict atomic energies and forces for driving MD simulations, not property prediction from a feature dataset.",claude-opus-4-8
Machine-learning potentials for structurally and chemically complex MAB phases: Strain hardening and ripplocation-mediated plasticity,,,10.1016/j.matdes.2025.114307,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""All MLIPs were trained in the moment tensor potential (MTP [61] ) formalism using the mlip-2 [6] package with 16 g MTPs, 5.5 Å cut-off radius, 1500 iterations of the Broyden-Fletcher-Goldfarb-Shanno algorithm [62] , and { 1 ; 0.01 ; 0.01 } weights for energies, forces, stresses.""","tensile strength, toughness, deformation mechanisms, elastic constants, lattice/structural properties","tensile strength — ""Considering targeted predictions of theoretical tensile strength, toughness, and deformation mechanisms, our MLIPs are further validated against snapshots from finite-temperature mechanical tests, comprising total of ≈ 3 ⋅ 10 6 ab initio MD configurations ( Fig.""
toughness — ""Considering targeted predictions of theoretical tensile strength, toughness, and deformation mechanisms, our MLIPs are further validated against snapshots from finite-temperature mechanical tests, comprising total of ≈ 3 ⋅ 10 6 ab initio MD configurations ( Fig.""
deformation mechanisms — ""Considering targeted predictions of theoretical tensile strength, toughness, and deformation mechanisms, our MLIPs are further validated against snapshots from finite-temperature mechanical tests, comprising total of ≈ 3 ⋅ 10 6 ab initio MD configurations ( Fig.""
elastic constants — ""Overall, our MLIPs do not systematically under/over-estimate elastic constants and achieve reasonable C i j accuracy in 0–1200 K range, providing an important add on to previous 0 K DFT studies.""
lattice/structural properties — ""Table 1 lists structural and elastic properties predicted at T ∈ { 0 , 300 , 1200 } K.""",4570,"The final training sets of MLIP(Ti-MABs), MLIP(Ta-MABs), and MLIP(W-MABs) contained 1409, 1685, and 1476 configurations, respectively, each configuration based on a supercell with 576–864 atoms.",computational,"The split of ab initio MD data between randomly initialised training set (TS), learning set (LS), and validation set (VS) was 0.5%–79.5%–20%.",atomic configurations (interatomic positions within cut-off radius),"atomic configurations (interatomic positions within cut-off radius) — ""All MLIPs were trained in the moment tensor potential (MTP [61] ) formalism using the mlip-2 [6] package with 16 g MTPs, 5.5 Å cut-off radius, 1500 iterations of the Broyden-Fletcher-Goldfarb-Shanno algorithm [62] , and { 1 ; 0.01 ; 0.01 } weights for energies, forces, stresses.""",NR,"The paper does not explicitly state a number of input features/descriptors. As an MTP, inputs are atomic configurations defined within a 5.5 Å cut-off; no explicit feature count is provided.","RMSE=3 meV/at. (energy, MLIP(Ti-MABs))","Consistently with the underlying ab initio calculations, training and validation errors of energies, forces, and stresses, quantified by the mean square error (RMSE), are below 3 meV/at., 0.14 eV/Å, and 0.2 GPa for MLIP(Ti-MABs); 20 meV/at., 0.20 eV/Å, and 0.3 GPa for MLIP(Ta-MABs); and 9 meV/at., 0.23 eV/Å, and 0.7 GPa for MLIP(W-MABs).",3.0,RMSE,high,"ml_models, target_properties, dataset_size, data_type, and performance_metric all found and clearly supported. num_features is null because the MTP formalism does not state an explicit feature count, which is expected for an interatomic potential.",yes,"MLIP/force field (Moment Tensor Potential) used to drive molecular dynamics simulations, not a model predicting an alloy property from a feature dataset.",claude-opus-4-8
Structure and strain state evolution under nanoindentation of Ag nanospheres by machine learning interatomic potential,,,10.1016/j.commatsci.2025.113992,trained,"Deep Potential (DP), DeePMD","Deep Potential (DP) — ""The deep neural network potentials used in this study were developed through DP-GEN workflow iterations [ 65 , 66 ].""
DeePMD — ""The workflow was initiated with DeePMD-kit fitting of the initial dataset, followed by DP-based simulations for conformational and chemical space exploration.""","equilibrium volume per atom (V0), bulk atomic energy (E0), elastic constants (C11, C12, C44), bulk modulus (Bv), shear modulus (Gv), Young's modulus (Ev), vacancy formation energy, surface energy, equation of state, yield strength, indentation hardness, energy and force","equilibrium volume per atom (V0) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
bulk atomic energy (E0) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
elastic constants (C11, C12, C44) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
bulk modulus (Bv) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
shear modulus (Gv) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
Young's modulus (Ev) — ""The fundamental properties evaluated include equilibrium volume per atom ( V 0 ), bulk atomic energy ( E 0 ), independent elastic constants ( C 11 , C 12 , C 44 ), bulk modulus ( B v ), shear modulus ( G v ), and Young's modulus ( E v ).""
vacancy formation energy — ""The DP model achieves superior predictive accuracy through direct DFT data training, accurately reproducing fundamental Ag properties including equation of state, elastic constants, vacancy formation energy, and surface energy.""
surface energy — ""The DP model achieves superior predictive accuracy through direct DFT data training, accurately reproducing fundamental Ag properties including equation of state, elastic constants, vacancy formation energy, and surface energy.""
equation of state — ""The DP model achieves superior predictive accuracy through direct DFT data training, accurately reproducing fundamental Ag properties including equation of state, elastic constants, vacancy formation energy, and surface energy.""
yield strength — ""Table 2 presents the elastic modulus, yield strength, and indentation hardness of Ag nanospheres calculated using DP and EAM potentials across different temperatures, benchmarked against experimental values.""
indentation hardness — ""Table 2 presents the elastic modulus, yield strength, and indentation hardness of Ag nanospheres calculated using DP and EAM potentials across different temperatures, benchmarked against experimental values.""
energy and force — ""To validate the obtained DP model, fundamental properties, such as energy, force, elastic properties, equation of states, surface energy, and radial distribution function, were compared with DFT and empirical force fields (EFFs), as well as experimental data.""",4644762,"Our training exploration dataset consists of 4,644,762 atomic configurations, including: Bulk Ag structures (3,183,102 configurations); Surface and interface structures (1,461,660 configurations).",computational,"This discrepancy stems from the fundamental difference in their development: EAM and MEAM potentials are empirical force fields fitted to experimental results, whereas the DP model is trained directly on DFT data [ 79 ].","descriptors of local atomic environments (invariant under rotation, translation, alignment)","descriptors of local atomic environments (invariant under rotation, translation, alignment) — ""The model utilizes descriptors of local atomic environments that maintain invariance under alignment, rotation, and translation operations while ensuring scalability.""",NR,"The model uses descriptors of local atomic environments, but no explicit count of features/descriptors is stated. The embedding network dimensions (25, 50, 100) and assembly network (240, 240, 240) describe network architecture, not the number of input features.",Bulk modulus deviation 0.16% vs DFT,"When compared to DFT calculations, the DP model shows minimal deviations in key mechanical parameters: 0.16 % for bulk modulus, 7.8 % for shear modulus, 7.0 % for Young's modulus, and 0 % for Poisson's ratio.",0.16,other,medium,"ml_models, target_properties, dataset_size, data_type, features, and performance_metric were all found. num_features is null because no explicit descriptor count is given. The performance metric reported is a percent deviation rather than a standard RMSE/MAE.",yes,"MLIP/force field (Deep Potential trained on DFT data) used to drive molecular dynamics nanoindentation simulations, not property prediction from a feature dataset.",claude-opus-4-8
From empirical to machine learning potentials: Unraveling the physical properties of grapheneplus —A novel half-auxetic 2D carbon nanosheet,,,10.1016/j.commatsci.2025.113996,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""A moment tensor potential (MTP) was created to investigate phononic and mechanical failure reactions.""","thermal conductivity, tensile strength, ultimate stress and strain, out-of-plane Poisson's ratio, phonon dispersion / phononic properties","thermal conductivity — ""At room temperature, thermal conductivity and tensile strength are predicted to be 58.1 ± 1 W/m.K and 10.41 GPa.nm, respectively.""
tensile strength — ""At room temperature, thermal conductivity and tensile strength are predicted to be 58.1 ± 1 W/m.K and 10.41 GPa.nm, respectively.""
ultimate stress and strain — ""In contrast, the MTP model predicted the ultimate stress and strain of grapheneplus at 16.7 GPa.nm and 10.6 %, respectively, showing a discrepancy of less than 5 % compared to the DFT results, which is considered negligible.""
out-of-plane Poisson's ratio — ""Moreover, to determine the out-of-plane Poisson's ratio, the strain in the z-direction relative to the strain in the x-direction was calculated using the MTP-based CMD method along with other experimental potential functions.""
phonon dispersion / phononic properties — ""4 illustrates the phonon scattering characteristics of grapheneplus, derived from a unit cell containing 18 atoms through DFPT and MTP methodologies.""",1880,"In our study, the MTP was found to be robust with a training set of 1880 samples for gerapheneplus.",computational,"This study integrated diverse AIMD data to enhance the classical training of MTPs, to accurately predict thermal and mechanical properties.","Moment tensor descriptors of atomic environments, Radial component (interatomic distances within cutoff radius)","Moment tensor descriptors of atomic environments — ""Moment tensor descriptors serve as representations of atomic environments and are defined as follows: (3) M μ , ̇ v n i = ∑ j f n r ij , z i , z j r ij ⊗ ⋯ ⊗ r ij where the index j iterates over all the neighbors of atom i .""
Radial component (interatomic distances within cutoff radius) — ""The function represents the radial component of the moment tensor, capturing the contribution of the distances between the central atom and its neighbors to the overall descriptor.""",NR,"The context describes moment tensor descriptors and their radial/angular components but never states an explicit count of features. The number of basis functions depends on the MTP level (denoted MTP_d), which is not given a numeric value here, so the count cannot be determined.","RMSE=0.09 eV/Å (forces), 0.6 meV/atom (energy)",Our findings indicate that the MTP achieves a root-mean-square error (RMSE) of 0.6 meV/atom for the potential energy and 0.09 eV/Å for the atomic forces.,0.09,RMSE,high,"ml_models, target_properties, dataset_size, data_type, features, and performance_metric are all clearly supported by verbatim sentences. Only num_features is null because no explicit feature count is given in the text.",yes,"The only ML component is a machine-learned interatomic potential (MTP) trained to predict energies/forces and run molecular dynamics simulations, rather than predicting a property from a feature dataset (MLIP/force field for MD, not property prediction).",claude-opus-4-8
