title,authors,year,ml_category,ml_models,target_properties,dataset_size,data_type,features,number_of_features,extraction_notes
Predicting Interstitial Solutes in Refractory Complex Concentrated Alloys via a Combined Experimental and Computational Workflow: A Case Study on Oxygen in NbTaTiHf,Huang A.,2026,trained; finetuned,pre-trained ORB-v2 universal machine-learning interatomic potential; custom Monte Carlo search coupled to MLIP,interstitial oxygen energy/free energy; oxygen local-environment preference; oxygen solubility lower-bound / HfO2 formation tendency,No local training or fine-tuning dataset; analysis used 500 random 128-atom RCCA+O structures and 330 VASP-vs-ORB benchmark structures,computational MLIP/DFT with experimental validation alloys,full atomic structure/local chemical environment used by ORB-v2; analysis descriptor: number of Nb nearest neighbors around O; analysis descriptor: number of Ta nearest neighbors around O; analysis descriptor: number of Ti nearest neighbors around O; analysis descriptor: number of Hf nearest neighbors around O,,"The JSON explicitly says ORB-v2 was used without further fine-tuning. ORB-v2 internal descriptors are not listed; the four neighbor-count descriptors are analysis descriptors, not a trained feature vector."
Liquid metal embrittlement in Fe-Zn: What can we learn from atomistic simulations?,Brunner F.,2026,trained,atomic cluster expansion (ACE) interatomic potential trained with PACEMAKER; hyperactive learning (HAL) for database enrichment,DFT energies; DFT forces,"Filtered and weighted training database: 38,366 configurations containing 1,545,811 atoms; underlying new Fe-Zn DB I+II contains 10,639 structures plus reused Fe and Zn databases",computational DFT/HAL database,"ACE radial functions R_nl; spherical harmonics Y_lm; atomic basis A_inlm; permutation-invariant many-body basis B_iv; species-specific Fe, Zn, Fe-Zn, and Zn-Fe interaction channels",500,The final Fe-Zn ACE IAP is reported with 500 basis functions; detailed basis orders/cutoffs differ by species channel.
Dual engine-driven strategy for advanced copper alloy design employing large language models,Tan F.,2026,trained,GPT/large language models for literature extraction; TF-IDF; Gephi network analysis; latent Dirichlet allocation (LDA); support vector regression (SVR) for element screening; deep neural network (DNN); long short-term memory (LSTM); LSTMNN; precipitation-type physical information neural network (PPNN),microhardness (MH); electrical conductivity (EC); solution-treated MH0/EC0 and aged MH1/EC1 in staged prediction,"823 high-quality relationship data chains mined from a corpus built from 10,305 papers and about 142,000 entity-containing paragraphs; PPNN train/validation/test split is 7:1:2, but the exact number of PPNN samples is not stated in the JSON",literature-mined experimental data with thermodynamic/DFT descriptors and lab validation experiments,Ni content; Sn content; In/microalloying element content; cold rolling deformation (CR); aging temperature (AGT); aging time (AGt); ordered phase transformation factor (OPT); transformation efficiency factor (TE); solution-treated hardness (MH0); solution-treated electrical conductivity (EC0),10,The listed PPNN features come from the named composition/process/staged-property inputs and SHAP discussion. The JSON also contains 16 alloy-factor descriptors in Table 1 for the earlier element-screening stage.
Dislocation-mediated short-range order evolution during thermomechanical processing,Islam M.,2026,trained,atomic cluster expansion (ACE) machine-learning interatomic potential,DFT energies; DFT atomic forces,not stated in JSON; details are referred to Supplementary Information Table 1,computational DFT data for TiTaVW atomistic simulations,local atomic environments encoded by ACE descriptors; bcc/fcc/hcp solid-solution configurations; pure elemental bcc configurations; B2 binary configurations; stacking-fault configurations; screw and edge dislocation dipole configurations; vacancy and tetrahedral/octahedral interstitial configurations,,The JSON describes the training-configuration classes but not the number of configurations or ACE basis-feature count.
Interfacial atomic vibration: A key dynamic characteristic for heterogeneous nucleation substrates,Wu D.,2026,trained,VASP on-the-fly machine-learning force field (MLFF) using Bayesian linear regression,potential-energy surface / DFT-level forces and energies for solid-liquid-interface dynamics; interfacial ordering and atomic vibration metrics derived from MLFF trajectories,not stated as a fixed training-set size; MLFF updates the dataset on the fly during AIMD-MLFF simulations; seven 412-atom interface systems were simulated for 100 ps,computational AIMD/MLFF simulations with experimental corroboration,"local atomic environments at XB2/Al3X/liquid-Al interfaces; atomic species and positions; substrate element X (Ta, Nb, Ti, V, Sc, Hf, Zr)",,The on-the-fly MLFF does not provide a static tabular feature list or final number of local-environment descriptors in the JSON.
Design of shape memory alloys with enhanced thermal management properties via adaptively constrained multi-objective optimization,Tian Y.,2026,trained; finetuned,noise-aware Kriging surrogate model; Gradient Boosting and Maximal Information Coefficient for feature selection; constrained Expected Hypervolume Improvement (CEHVI) optimization,latent heat L; thermal hysteresis DeltaT,Initial training dataset: 125 NiTi-based alloy samples from lab and literature; iterative experiments added new data during optimization,mixed laboratory and literature experimental data,valence electron number (VEN); electronegativity difference (delta chi); Lambda parameter; Omega parameter; atomic radius difference (delta r),5,"The latent-heat model uses VEN, delta chi, Lambda, and Omega; the hysteresis model uses Lambda, VEN, and delta r. The count is the union of named selected features."
High-throughput design of Mg-based alloy anodes for magnesium-ion batteries,Song Q.,2026,trained,MAGUS machine-learning and graph-theory assisted universal structure searcher; evolutionary algorithm structure search,"lowest-enthalpy crystal structures; formation energy / phase stability of Mg-Sn, Mg-Bi, and Mg-Sb alloys",613 stable configurations identified by MAGUS screening; 11 phase-stable structures selected from convex hulls; 5 structures retained after mechanical/thermodynamic checks,computational high-throughput DFT and structure-search data,"fixed composition/stoichiometry MgxM1-x with M = Sn, Bi, or Sb; candidate crystal structure, lattice/cell, symmetry, and atomic positions generated during structure search",,This is not a supervised property model with a named feature vector. The JSON does not state a tabular feature count for MAGUS.
Atomic-scale insights into the exceptional pinning effect of the K bubbles on W grain boundary,Chen M.,2026,trained,"Neuroevolution Potential (NEP), WK-NEP",DFT energy; DFT forces; virial stress,"3,844 structures randomly split 9:1 into training and test sets",computational DFT/AIMD and active-learning sampled structures,local atomic environments encoded by NEP descriptors; atomic species W/K; atomic positions and lattice/structure information,,The JSON gives the structure count but not the NEP descriptor dimensionality or named descriptor components.
Towards DFT-accurate prediction of twin interface structure and motion in NiTi shape memory alloys,Ţurcan E.,2026,trained,PACE/ACE interatomic potential trained with PACEMAKER,DFT energies; DFT forces,"10,626 close-to-stoichiometric NiTi configurations; 85/15 train/test split",computational DFT/AIMD database,ACE descriptors / PACE Finnis-Sinclair basis; cutoff radius r_cut; body order nu=6; basis functions,500,"The selected potential uses r_cut = 12 A and 500 basis functions. Other tested models used 500, 700, or 900 basis functions."
"Uncertainty-aware machine learning framework for predicting dislocation plasticity and stress–strain response in metallic alloys, Part I : FCC systems",Luo J.,2026,trained; finetuned,mixture density network (MDN); parallel-series physical model for polycrystal stress-strain prediction,dislocation density evolution; polycrystalline stress-strain response derived from dislocation density,"94 experimental stress-strain curves digitized into 3,098 data points",literature experimental stress-strain data plus synthetic microstructure generation for polycrystal simulations,strain (epsilon); strain rate (epsilon_dot); elastic/shear modulus (E or mu); average grain size (d); yield stress (sigma_y),5,The text alternates between shear modulus mu and elastic/Young modulus E; both refer to the reported elastic modulus input used with the other four features.
Probing dendrite growth under microgravity via machine learning-aided multi-scale characterisation,Wu F.,2026,trained,three-branch convolutional neural network (CNN) thresholding module with AdaBelief optimizer,adaptive image threshold coefficient for dendrite segmentation / dendrite identification in X-ray video frames,"For each 220-frame video, 50% of frames are reserved for training and augmented by horizontal/vertical flips up to 440 frames",experimental in-situ X-ray radiography image sequences,raw X-ray image / pixel-intensity array,1,"The CNN input is image data, not named tabular descriptors. The count treats the image/pixel array as one input feature type."
Theory guided data-driven design of superelasticity in TiNi alloys over wide temperature window,Pang J.,2026,trained; finetuned,kernel ridge regression (KRR); Gaussian process regression (GPR); symbolic regression (SR),reverse martensitic transformation peak temperature Tp; phase-boundary slope used to design wide superelastic temperature window,185 TiNi-based SMA data points; 80% training split with 10-fold cross-validation and 100 random splits for feature-combination testing,mixed literature and laboratory experimental data,composition descriptor eta; Clementi's atomic radii (arc); valence electron number of average atomic number (ea),3,"The feature pool contained 17 candidate features; the best selected combination was eta, arc, and ea."
"Tailoring thermal transport in (Sc,Yb)AlN thin films to the glassy limit",Qian Z.,2026,trained,Neuroevolution Potential (NEP) trained in GPUMD,DFT forces; DFT energies; virial stress; used for thermal-conductivity simulations by HNEMD/QHGK,"not stated in JSON; dataset was generated from SQS structures, AIMD at 50-700 K, and -3% to +3% triaxial strain configurations",computational DFT/AIMD training data with experimental thin-film validation,local atomic environments encoded by NEP descriptors; atomic species/positions in ScxAl1-xN and YbxAl1-xN SQS configurations; alloying concentration,,"The JSON refers to Table S5/Fig. S17 for NEP hyperparameters and training details, but it does not give the training-set size or descriptor count."
Design biomedical β-Ti alloys with exceptional strength-ductility balance via domain knowledge-based machine learning,He S.,2025,trained,support vector regression (SVR); random forest (RF); eXtreme Gradient Boosting Trees (XGBT); artificial neural network (ANN); decision tree regression (DTR); linear regression (LR); Bayesian optimization for reverse design,yield strength (YS); elongation (E),82 titanium-alloy compositions from literature; 80% training and 20% test split,literature experimental mechanical-property data with lab validation alloy,Yang delta (YD); Yang omega (YO); electronegativity delta (ED); valence electron concentration (VEC); mean atomic number (AN/MN); mean melting temperature (MT),6,The JSON names six domain-knowledge features. It uses both AN and MN wording for mean atomic number.
Creating Gallium-based alloys with the lowest melting point via reverse design approach,Wu Y.,2025,trained,artificial neural network (ANN); support vector machine/regression with three kernels; multiple linear regression (MLR); Lasso regression (LR); ridge regression (RR); gradient boosting regression (GBR); Gaussian process regression surrogate in progressive searching protocol (PSP),melting point of Ga-based low-melting-point alloys,150 usable literature samples; 4:1 train/test split; active learning added 7 synthesized samples over two experimental rounds,literature experimental data plus new experimental DSC validation,boiling point (BP); third ionization energy (TI); heat of vaporization / evaporation heat (EH); C6 dispersion coefficient (CG); Pyykko triple covalent radius (CRPT); abundance in the ocean (AS); enthalpy of vaporization (EV); enthalpy of atomization (EA); van der Waals radius Truhlar (VRT); mass attenuation coefficient of CrKalpha (MACC); melting point descriptor (MP); heat of formation (HOF); work function (WF); mole fraction of In (X_In); valence electron distance (DVE); Cordero covalent radius (CRC); mole fraction of Bi (X_Bi),17,"The workflow generated 128 descriptors, selected 80 after feature engineering, then the ANN used the 17-feature subset listed in Table 1."
Microstructure-agnostic deep learning for mechanistic discovery of corrosion-resistant Co-Cr-Fe-Ni MPEAs,Zhang Z.,2025,trained,deep neural network (DNN/CORAL) with Gaussian noise and Monte Carlo dropout; Gaussian process models; gradient boosting; AdaBoost; kernel ridge regression,corrosion current density icorr / corrosion rate,"1,400 curated literature data points from 455 papers for initial training/testing; 80/20 train/test split; 35 new lab data points added for retraining",literature experimental corrosion data plus targeted laboratory experiments,weighted average Pauling electronegativity; Pauling electronegativity difference; weighted average Pilling-Bedworth ratio; Pilling-Bedworth ratio difference; configurational entropy; atomic size difference; valence electron concentration (VEC); pH; chloride molarity (Cl-),9,Elemental compositions were deliberately excluded from the final input features to reduce correlation; Table 1 provides the nine descriptors.
Prediction and characterization of chemically complex σ−phase intermetallics with graph neural network,Zhang W.,2025,trained,ALIGNN graph neural network for formation enthalpy; multi-layer perceptron (MLP) regressors for relaxed structural parameters,"formation enthalpy of sigma-phase end-member configurations; relaxed structural parameters: volume, c/a ratio, and Wyckoff-position degrees of freedom","17,746 DFT training configurations: 19 unary + 5,130 binary + 4,845 ternary + 7,752 quaternary; ALIGNN used 85% training and 15% validation; separate 3,000-configuration test set",computational high-throughput DFT data,input crystal structure graph; atomic chemical features; bond lengths; bond angles; composition/configuration information for structure-parameter MLPs,,The JSON states the graph feature types used by ALIGNN but not a fixed tabular feature count or the MLP input dimensionality.
