title,authors,year,ml_category,ml_models,target_properties,dataset_size,data_type,features,num_features,notes
"Liquid metal embrittlement in Fe-Zn: What can we learn from atomistic simulations?","Brunner F.",2026,trained,"Atomic Cluster Expansion (ACE) potential + SpinACE (magnetic effects), fitted with PACEMAKER; active learning with hyperactive learning","Interatomic energies and forces in Fe-Zn → fracture mechanics, grain boundary embrittlement, liquid metal embrittlement","11,018+ configurations (enriched Fe Meng database + Zn + Fe-Zn DFT calculations)","Computational (DFT/VASP spin-polarized calculations)","ACE polynomial basis functions of atomic positions, species, and magnetic moments",Not listed,"SpinACE extends the standard ACE potential to include magnetic degrees of freedom, critical for Fe (ferromagnetic). Training database combines the Fe Meng database with new Zn and Fe-Zn DFT configurations. Active learning (hyperactive learning) used to fill gaps in the training database. Validated against DFT-calculated surface energies, grain boundary energies, and fracture mechanics."
"Dual engine-driven strategy for advanced copper alloy design employing large language models","Tan F.",2026,trained,"Deep Neural Network (DNN), LSTM, LSTM-NN, attention-based NN (data engine); LLM/GPT (knowledge engine)","Hardness and electrical conductivity (EC) of Cu-Ni-Sn alloys","234,361 alloy entries (AFLOW/Materials Project database) + ~24 experimental validations; LLM processed 10,305 articles","Experimental (literature database + LLM-mined text + new experimental validation)","14 features for hardness; 16 features for EC — selected from 96 generated features (chemical/physical elemental properties: quantum numbers, atomic masses, etc.)","14 (hardness); 16 (EC)","Dual-engine framework: data engine uses 234,361 alloy entries; knowledge engine (LLM/GPT) processes 10,305 copper alloy research articles for mechanism-level insights. Feature selection from 96 generated features down to 14 (hardness) and 16 (EC) using correlation analysis. Exact selected feature names not enumerated in the text."
"Dislocation-mediated short-range order evolution during thermomechanical processing","Islam M.",2026,trained,"ML Interatomic Potential (GNN-based, NequIP-type) for equiatomic TiTaVW","Interatomic energies and forces in TiTaVW → SRO evolution under dislocation-mediated thermomechanical processing","Not stated (DFT configurations of perfect and defective TiTaVW structures)","Computational (DFT + MD/MC simulations)","Atomic positions and species (Ti, Ta, V, W); GNN descriptors (no hand-crafted feature vector)",Not listed,"The MLIP (likely NequIP or similar equivariant GNN) is used to run large-scale MD simulations of dislocation motion and SRO evolution in equiatomic TiTaVW, inaccessible by direct DFT. Training database size not stated. The study reveals how dislocation motion creates local chemical order variations."
"Interfacial atomic vibration: A key dynamic characteristic for heterogeneous nucleation substrates","Wu D.",2026,trained,"Machine Learning Force Field (MLFF, on-the-fly via VASP 6.4.2, Bayesian inference)","Interfacial atomic vibrational properties (vibrational spectra, mean square displacement); heterogeneous nucleation efficiency","Not stated (AIMD on-the-fly training trajectories)","Computational (DFT/AIMD + MLFF MD; experimental grain refinement validation)","Atomic positions and species (no hand-crafted features; on-the-fly VASP MLFF)",Not listed,"On-the-fly MLFF training within VASP 6.4.2 using Bayesian inference. The MLFF is trained adaptively during AIMD simulation — when prediction uncertainty exceeds a threshold, new DFT calculations are added to the training set. Total training set size is therefore not a fixed number."
"Design of shape memory alloys with enhanced thermal management properties via adaptively constrained multi-objective optimization","Tian Y.",2026,"trained, finetuned","Gradient Boosting (feature selection + ranking); surrogate regression model; Bayesian optimization / Expected Hypervolume Improvement (EHVI) multi-objective optimization","Latent heat (L) for thermal energy storage; transformation hysteresis (ΔT) for overall transformation range in NiTi-based SMAs","125 NiTi-based alloy samples","Experimental (DSC data from authors' lab + literature)","Top 10 selected from 31 candidate features: compositions of Ti, Ni, Cu, Hf, Zr, Nb, Co, Cr, Fe, V + derived thermodynamic features","31 candidate → 10 selected","Two-step feature selection: Gradient Boosting ranks all 31 candidate features, then Maximal Information Coefficient (MIC) removes redundant ones. Bayesian optimization with EHVI targets the Pareto front of latent heat vs. transformation hysteresis. Dataset of 125 samples spans NiTi-based alloys with up to 10 alloying elements."
"High-throughput design of Mg-based alloy anodes for magnesium-ion batteries","Song Q.",2026,trained,"ML pre-screening model (architecture unspecified); multi-criteria DFT stability validation","Theoretical specific capacity, thermodynamic stability (formation energy), electronic conductivity, anti-passivation, Mg affinity, diffusion barriers of Mg-based alloy anodes","~613 screened → 168 stable → 107 further evaluated","Computational (DFT/VASP)","Alloy composition (Mg fraction x + partner element); crystal structure descriptors (not explicitly detailed)",Not explicitly listed,"ML pre-screening is used as a first filter over a large compositional space before expensive DFT validation. The exact ML model architecture is not explicitly stated in the text. The screening pipeline evaluates six criteria: specific capacity, stability, conductivity, anti-passivation, Mg affinity, and diffusion barriers."
"Atomic-scale insights into the exceptional pinning effect of the K bubbles on W grain boundary","Chen M.",2026,trained,"Neuroevolution Potential (NEP / WK-NEP) via GPUMD","Interatomic energies and forces in W-K → grain boundary migration, K bubble pinning, GB energy and mobility in W","Not stated (unary W, K + binary W-K DFT configurations)","Computational (DFT/VASP + NEP MD)","Atomic positions and species (W, K); Chebyshev polynomial NEP descriptors",Not listed,"NEP uses a neural network with Chebyshev polynomial basis for atomic density descriptors, trained via GPUMD. Used for large-scale MD simulations of GB migration with K bubbles — system sizes up to millions of atoms inaccessible by DFT. Training database covers unary W, K, and binary W-K configurations at various temperatures."
"Towards DFT-accurate prediction of twin interface structure and motion in NiTi shape memory alloys","Ţurcan E.",2026,trained,"Atomic Cluster Expansion (ACE) potential, trained with PACEMAKER; multiple ACE models compared","Interatomic energies and forces in NiTi → twin interface structure, twin boundary energy, twin boundary mobility in B19′ martensite","10,626 NiTi configurations (AIMD: B2, B19′, B19, B33, R phases + off-stoichiometric + active learning structures)","Computational (DFT/VASP AIMD)","ACE polynomial many-body basis (atomic positions, species Ni/Ti)",Not listed,"Multiple ACE variants compared (ACE-1, ACE-2, etc.) to find the optimal accuracy/cost balance. Training database of 10,626 configurations from Tang et al. [35] covers B2, B19', B19, B33, R phases, off-stoichiometric structures, and active learning configurations. The ACE potential achieves DFT-level accuracy for twin boundary energy calculations."
"Uncertainty-aware machine learning framework for predicting dislocation plasticity and stress–strain response in metallic alloys, Part I: FCC systems","Luo J.",2026,"trained, finetuned","Mixture Density Network (MDN) + parallel-series weakest-link micromechanics framework","Dislocation density evolution as function of strain ρ(ε); polycrystalline stress-strain curve with uncertainty quantification","Literature dataset of quasi-static tensile stress-strain curves for FCC metals (exact count not stated)","Experimental (compiled from literature: quasi-static tensile tests)","True strain (ε), strain rate (ε̇), average grain size (d_ave), shear modulus (μ), yield strength (σ_y)",5,"MDN outputs a probability distribution over dislocation density evolution — provides uncertainty quantification. Combined with a physics-based parallel-series weakest-link micromechanics model to predict full polycrystalline stress-strain curves. The 5 input features are physically meaningful. Exact count of training stress-strain curves from literature not stated."
"Probing dendrite growth under microgravity via machine learning-aided multi-scale characterisation","Wu F.",2026,trained,"Convolutional Neural Network (CNN) + bespoke image analysis","Dendrite growth kinetics (primary arm evolution, growth rate, orientation selection) under microgravity vs. terrestrial conditions","X-ray image sequences from MASER-13 rocket experiment (exact frame count not stated)","Experimental (in-situ X-ray radiography during microgravity solidification + post-flight synchrotron X-ray micro-tomography)","Raw X-ray radiography image pixels (CNN input); no explicit hand-crafted feature vector",Not explicitly stated,"CNN applied to in-situ X-ray radiography images from the MASER-13 sounding rocket experiment. The ML component automates dendrite morphology analysis. The dataset is unique and rare (microgravity experiment). Post-flight synchrotron X-ray micro-tomography provides 3D structural characterization for comparison."
"Theory guided data-driven design of superelasticity in TiNi alloys over wide temperature window","Pang J.",2026,"trained, finetuned","Gaussian Process Regression (GPR); Symbolic Regression; theory-guided features from Ginzburg-Landau/Landau mean-field theory","Superelastic temperature window (ΔT from -196°C to 100°C) in TiNi-based alloys; transformation temperatures (M_s, A_f)","185 data points (literature + authors' lab; TiNi-based alloys)","Experimental (literature + lab measurements; theory-guided feature engineering)","Alloy composition fractions (Ti, Ni + dopants); Landau-derived order parameter features (theory-informed descriptors)",Not explicitly stated,"Key innovation: Ginzburg-Landau/Landau mean-field theory used to define theory-guided features encoding the superelastic window physics. GPR is the surrogate model; Symbolic Regression extracts interpretable equations. Dataset of 185 TiNi-based alloy samples from literature and lab. Exact feature names not fully enumerated in available text."
"Tailoring thermal transport in (Sc,Yb)AlN thin films to the glassy limit","Qian Z.",2026,trained,"Neuroevolution Potential (NEP) via GPUMD; Debye-Callaway (D-C) analytical model; Cahill-Watson-Pohl model","Thermal conductivity (k) of (Sc,Yb)AlN thin films as function of alloy composition and structural disorder","DFT on 256-atom SQS supercells for various Sc/Yb concentrations (training set size not stated)","Mixed (experimental RF sputtering of thin films + DFT + NEP/MD simulations)","Atomic positions and species (Sc/Yb, Al, N); alloy concentration x as primary design variable",Not listed,"NEP trained on DFT calculations of Special Quasi-random Structures (SQS) — 256-atom supercells at various Sc/Yb concentrations. NEP enables HNEMD and QHGK calculations of thermal conductivity. Training set size not explicitly stated. Three models compared: NEP/MD, Debye-Callaway, and Cahill-Watson-Pohl."
"Design biomedical β-Ti alloys with exceptional strength-ductility balance via domain knowledge-based machine learning","He S.",2025,trained,"Support Vector Regression (SVR) + SHAP; also Random Forest, Gradient Boosting, Neural Network; Bayesian Optimization for composition selection","Yield strength and elongation (ductility) of biomedical β-Ti alloys","~82 data points (literature; inferred from context)","Experimental (literature-compiled β-Ti alloy mechanical properties)","Alloy composition fractions (Ti + alloying elements) + domain knowledge features related to slip systems and kink band formation",Not explicitly listed,"SVR is the primary model with SHAP for interpretability. Domain knowledge encoded via features related to slip systems and kink band formation mechanisms specific to β-Ti alloys. Dataset size (~82) inferred from context — not explicitly stated. Bayesian Optimization suggests new compositions on the Pareto front of yield strength vs. elongation."
"Creating Gallium-based alloys with the lowest melting point via reverse design approach","Wu Y.",2025,trained,"Neural Network, LASSO, Ridge Regression, Gradient Boosting, SVM, Gaussian Process; active learning for inverse design","Melting point of Gallium-based low-melting-point alloys (goal: minimize below current record)","150 literature samples (19 metal combinations: Ga, In, Sn, Zn, Bi, Pb, Cd, Li, Al, Na, Gd, Ge, Tl, Ti, Ag, La, Cu, Sb, Co)","Experimental (literature-compiled melting point data)","128 descriptors: 109 atomic descriptors + 19 elemental ratio descriptors (quantum numbers, atomic masses, group numbers, etc.)","128 initial → reduced via feature selection (final count not stated)","Active learning inverse design: ML model trained on 150 literature samples then iteratively proposes new compositions to test. 128 initial descriptors generated from element properties for 19 possible metals. Feature selection reduces this, but the final count is not stated. Six ML models compared; best used for active learning."
"Microstructure-agnostic deep learning for mechanistic discovery of corrosion-resistant Co-Cr-Fe-Ni MPEAs","Zhang Z.",2025,trained,"CORAL (Deep Neural Network with dropout); Gradient Boost, AdaBoost, Kernel Ridge Regression, Gaussian Process; Random Forest (feature importance); active learning","Corrosion current density (i_corr) of Co-Cr-Fe-Ni multi-principal element alloys in 0.5 M H₂SO₄","~1,400 literature data points + 35 new experimental = ~1,435 total","Mixed (literature experimental data + new experiments + DFT calculations for descriptor development)","Physics-based descriptors (composition + DFT-derived invariant features; grain boundary/secondary phase concepts at design level)",Not explicitly stated,"CORAL is a multi-layer DNN with dropout for uncertainty analysis. Key innovation: microstructure-agnostic approach uses physics-based descriptors invariant to microstructural variation. Feature importance ranked by 5-fold Random Forest. Active learning adds targeted experimental points to improve the model in underrepresented compositional regions."
"Prediction and characterization of chemically complex σ-phase intermetallics with graph neural network","Zhang W.",2025,trained,"ALIGNN (Atomistic Line Graph Neural Network — dual-graph GNN); Bayesian optimization for hyperparameter tuning","Formation enthalpies of σ-phase intermetallic end-member configurations for 19 metallic elements","~3,000 DFT-calculated σ-phase configurations (custom first-principles database)","Computational (DFT/VASP, PAW/GGA-PBE)","Crystal structure dual-graph: bond distances and bond angles (ALIGNN input; no hand-crafted feature vector)",Not listed,"ALIGNN uses a dual-graph representation: one graph for atomic bonds and a line graph encoding bond angles, capturing 3-body interactions without hand-crafted angular features. Applied to predict formation enthalpies of all end-member configurations in complex σ-phase intermetallics (19 elements). Bayesian optimization used for hyperparameter tuning. ~3,000 DFT training configurations."
